lugar,no_serie,prim_classe
11C,B737-001,FALSE
11D,B737-001,FALSE
11E,B737-001,FALSE
11F,B737-001,FALSE
12A,B737-001,FALSE
12B,B737-001,FALSE
12C,B737-001,FALSE
12D,B737-001,FALSE
12E,B737-001,FALSE
12F,B737-001,FALSE
13A,B737-001,FALSE
13B,B737-001,FALSE
13C,B737-001,FALSE
13D,B737-001,FALSE
13E,B737-001,FALSE
13F,B737-001,FALSE
14A,B737-001,FALSE
14B,B737-001,FALSE
14C,B737-001,FALSE
14D,B737-001,FALSE
14E,B737-001,FALSE
14F,B737-001,FALSE
15A,B737-001,FALSE
15B,B737-001,FALSE
15C,B737-001,FALSE
15D,B737-001,FALSE
15E,B737-001,FALSE
15F,B737-001,FALSE
16A,B737-001,FALSE
16B,B737-001,FALSE
16C,B737-001,FALSE
16D,B737-001,FALSE
16E,B737-001,FALSE
16F,B737-001,FALSE
17A,B737-001,FALSE
17B,B737-001,FALSE
17C,B737-001,FALSE
17D,B737-001,FALSE
17E,B737-001,FALSE
17F,B737-001,FALSE
18A,B737-001,FALSE
18B,B737-001,FALSE
18C,B737-001,FALSE
18D,B737-001,FALSE
18E,B737-001,FALSE
18F,B737-001,FALSE
19A,B737-001,FALSE
19B,B737-001,FALSE
19C,B737-001,FALSE
19D,B737-001,FALSE
19E,B737-001,FALSE
19F,B737-001,FALSE
20A,B737-001,FALSE
20B,B737-001,FALSE
20C,B737-001,FALSE
20D,B737-001,FALSE
20E,B737-001,FALSE
20F,B737-001,FALSE
21A,B737-001,FALSE
21B,B737-001,FALSE
21C,B737-001,FALSE
21D,B737-001,FALSE
21E,B737-001,FALSE
21F,B737-001,FALSE
22A,B737-001,FALSE
22B,B737-001,FALSE
22C,B737-001,FALSE
22D,B737-001,FALSE
22E,B737-001,FALSE
22F,B737-001,FALSE
23A,B737-001,FALSE
23B,B737-001,FALSE
23C,B737-001,FALSE
23D,B737-001,FALSE
23E,B737-001,FALSE
23F,B737-001,FALSE
24A,B737-001,FALSE
24B,B737-001,FALSE
24C,B737-001,FALSE
24D,B737-001,FALSE
24E,B737-001,FALSE
24F,B737-001,FALSE
25A,B737-001,FALSE
25B,B737-001,FALSE
25C,B737-001,FALSE
25D,B737-001,FALSE
25E,B737-001,FALSE
25F,B737-001,FALSE
26A,B737-001,FALSE
26B,B737-001,FALSE
26C,B737-001,FALSE
26D,B737-001,FALSE
26E,B737-001,FALSE
26F,B737-001,FALSE
1A,B737-002,TRUE
1B,B737-002,TRUE
1C,B737-002,TRUE
1D,B737-002,TRUE
1E,B737-002,TRUE
1F,B737-002,TRUE
2A,B737-002,TRUE
2B,B737-002,TRUE
2C,B737-002,TRUE
2D,B737-002,TRUE
2E,B737-002,TRUE
2F,B737-002,TRUE
3A,B737-002,FALSE
3B,B737-002,FALSE
3C,B737-002,FALSE
3D,B737-002,FALSE
3E,B737-002,FALSE
3F,B737-002,FALSE
4A,B737-002,FALSE
4B,B737-002,FALSE
4C,B737-002,FALSE
4D,B737-002,FALSE
4E,B737-002,FALSE
4F,B737-002,FALSE
5A,B737-002,FALSE
5B,B737-002,FALSE
5C,B737-002,FALSE
5D,B737-002,FALSE
5E,B737-002,FALSE
5F,B737-002,FALSE
6A,B737-002,FALSE
6B,B737-002,FALSE
6C,B737-002,FALSE
6D,B737-002,FALSE
6E,B737-002,FALSE
6F,B737-002,FALSE
7A,B737-002,FALSE
7B,B737-002,FALSE
7C,B737-002,FALSE
7D,B737-002,FALSE
7E,B737-002,FALSE
7F,B737-002,FALSE
8A,B737-002,FALSE
8B,B737-002,FALSE
8C,B737-002,FALSE
8D,B737-002,FALSE
8E,B737-002,FALSE
8F,B737-002,FALSE
9A,B737-002,FALSE
9B,B737-002,FALSE
9C,B737-002,FALSE
9D,B737-002,FALSE
9E,B737-002,FALSE
9F,B737-002,FALSE
10A,B737-002,FALSE
10B,B737-002,FALSE
10C,B737-002,FALSE
10D,B737-002,FALSE
10E,B737-002,FALSE
10F,B737-002,FALSE
11A,B737-002,FALSE
11B,B737-002,FALSE
11C,B737-002,FALSE
11D,B737-002,FALSE
11E,B737-002,FALSE
11F,B737-002,FALSE
12A,B737-002,FALSE
12B,B737-002,FALSE
12C,B737-002,FALSE
12D,B737-002,FALSE
12E,B737-002,FALSE
12F,B737-002,FALSE
13A,B737-002,FALSE
13B,B737-002,FALSE
13C,B737-002,FALSE
13D,B737-002,FALSE
13E,B737-002,FALSE
13F,B737-002,FALSE
14A,B737-002,FALSE
14B,B737-002,FALSE
14C,B737-002,FALSE
14D,B737-002,FALSE
14E,B737-002,FALSE
14F,B737-002,FALSE
15A,B737-002,FALSE
15B,B737-002,FALSE
15C,B737-002,FALSE
15D,B737-002,FALSE
15E,B737-002,FALSE
15F,B737-002,FALSE
16A,B737-002,FALSE
16B,B737-002,FALSE
16C,B737-002,FALSE
16D,B737-002,FALSE
16E,B737-002,FALSE
16F,B737-002,FALSE
17A,B737-002,FALSE
17B,B737-002,FALSE
17C,B737-002,FALSE
17D,B737-002,FALSE
17E,B737-002,FALSE
17F,B737-002,FALSE
18A,B737-002,FALSE
18B,B737-002,FALSE
18C,B737-002,FALSE
18D,B737-002,FALSE
18E,B737-002,FALSE
18F,B737-002,FALSE
19A,B737-002,FALSE
19B,B737-002,FALSE
19C,B737-002,FALSE
19D,B737-002,FALSE
19E,B737-002,FALSE
19F,B737-002,FALSE
20A,B737-002,FALSE
20B,B737-002,FALSE
20C,B737-002,FALSE
20D,B737-002,FALSE
20E,B737-002,FALSE
20F,B737-002,FALSE
21A,B737-002,FALSE
21B,B737-002,FALSE
21C,B737-002,FALSE
21D,B737-002,FALSE
21E,B737-002,FALSE
21F,B737-002,FALSE
22A,B737-002,FALSE
22B,B737-002,FALSE
22C,B737-002,FALSE
22D,B737-002,FALSE
22E,B737-002,FALSE
22F,B737-002,FALSE
23A,B737-002,FALSE
23B,B737-002,FALSE
23C,B737-002,FALSE
23D,B737-002,FALSE
23E,B737-002,FALSE
23F,B737-002,FALSE
24A,B737-002,FALSE
24B,B737-002,FALSE
24C,B737-002,FALSE
24D,B737-002,FALSE
24E,B737-002,FALSE
24F,B737-002,FALSE
25A,B737-002,FALSE
25B,B737-002,FALSE
25C,B737-002,FALSE
25D,B737-002,FALSE
25E,B737-002,FALSE
25F,B737-002,FALSE
26A,B737-002,FALSE
26B,B737-002,FALSE
26C,B737-002,FALSE
26D,B737-002,FALSE
26E,B737-002,FALSE
26F,B737-002,FALSE
1A,A330-001,TRUE
1B,A330-001,TRUE
1C,A330-001,TRUE
1D,A330-001,TRUE
1E,A330-001,TRUE
1F,A330-001,TRUE
2A,A330-001,TRUE
2B,A330-001,TRUE
2C,A330-001,TRUE
2D,A330-001,TRUE
2E,A330-001,TRUE
2F,A330-001,TRUE
3A,A330-001,TRUE
3B,A330-001,TRUE
3C,A330-001,TRUE
3D,A330-001,TRUE
3E,A330-001,TRUE
3F,A330-001,TRUE
4A,A330-001,TRUE
4B,A330-001,TRUE
4C,A330-001,TRUE
4D,A330-001,TRUE
4E,A330-001,TRUE
4F,A330-001,TRUE
5A,A330-001,FALSE
5B,A330-001,FALSE
5C,A330-001,FALSE
5D,A330-001,FALSE
5E,A330-001,FALSE
5F,A330-001,FALSE
6A,A330-001,FALSE
6B,A330-001,FALSE
6C,A330-001,FALSE
6D,A330-001,FALSE
6E,A330-001,FALSE
6F,A330-001,FALSE
7A,A330-001,FALSE
7B,A330-001,FALSE
7C,A330-001,FALSE
7D,A330-001,FALSE
7E,A330-001,FALSE
7F,A330-001,FALSE
8A,A330-001,FALSE
8B,A330-001,FALSE
8C,A330-001,FALSE
8D,A330-001,FALSE
8E,A330-001,FALSE
8F,A330-001,FALSE
9A,A330-001,FALSE
9B,A330-001,FALSE
9C,A330-001,FALSE
9D,A330-001,FALSE
9E,A330-001,FALSE
9F,A330-001,FALSE
10A,A330-001,FALSE
10B,A330-001,FALSE
10C,A330-001,FALSE
10D,A330-001,FALSE
10E,A330-001,FALSE
10F,A330-001,FALSE
11A,A330-001,FALSE
11B,A330-001,FALSE
11C,A330-001,FALSE
11D,A330-001,FALSE
11E,A330-001,FALSE
11F,A330-001,FALSE
12A,A330-001,FALSE
12B,A330-001,FALSE
12C,A330-001,FALSE
12D,A330-001,FALSE
12E,A330-001,FALSE
12F,A330-001,FALSE
13A,A330-001,FALSE
13B,A330-001,FALSE
13C,A330-001,FALSE
13D,A330-001,FALSE
13E,A330-001,FALSE
13F,A330-001,FALSE
14A,A330-001,FALSE
14B,A330-001,FALSE
14C,A330-001,FALSE
14D,A330-001,FALSE
14E,A330-001,FALSE
14F,A330-001,FALSE
15A,A330-001,FALSE
15B,A330-001,FALSE
15C,A330-001,FALSE
15D,A330-001,FALSE
15E,A330-001,FALSE
15F,A330-001,FALSE
16A,A330-001,FALSE
16B,A330-001,FALSE
16C,A330-001,FALSE
16D,A330-001,FALSE
16E,A330-001,FALSE
16F,A330-001,FALSE
17A,A330-001,FALSE
17B,A330-001,FALSE
17C,A330-001,FALSE
17D,A330-001,FALSE
17E,A330-001,FALSE
17F,A330-001,FALSE
18A,A330-001,FALSE
18B,A330-001,FALSE
18C,A330-001,FALSE
18D,A330-001,FALSE
18E,A330-001,FALSE
18F,A330-001,FALSE
19A,A330-001,FALSE
19B,A330-001,FALSE
19C,A330-001,FALSE
19D,A330-001,FALSE
19E,A330-001,FALSE
19F,A330-001,FALSE
20A,A330-001,FALSE
20B,A330-001,FALSE
20C,A330-001,FALSE
20D,A330-001,FALSE
20E,A330-001,FALSE
20F,A330-001,FALSE
21A,A330-001,FALSE
21B,A330-001,FALSE
21C,A330-001,FALSE
21D,A330-001,FALSE
21E,A330-001,FALSE
21F,A330-001,FALSE
22A,A330-001,FALSE
22B,A330-001,FALSE
22C,A330-001,FALSE
22D,A330-001,FALSE
22E,A330-001,FALSE
22F,A330-001,FALSE
23A,A330-001,FALSE
23B,A330-001,FALSE
23C,A330-001,FALSE
23D,A330-001,FALSE
23E,A330-001,FALSE
23F,A330-001,FALSE
24A,A330-001,FALSE
24B,A330-001,FALSE
24C,A330-001,FALSE
24D,A330-001,FALSE
24E,A330-001,FALSE
24F,A330-001,FALSE
25A,A330-001,FALSE
25B,A330-001,FALSE
25C,A330-001,FALSE
25D,A330-001,FALSE
25E,A330-001,FALSE
25F,A330-001,FALSE
26A,A330-001,FALSE
26B,A330-001,FALSE
26C,A330-001,FALSE
26D,A330-001,FALSE
26E,A330-001,FALSE
26F,A330-001,FALSE
27A,A330-001,FALSE
27B,A330-001,FALSE
27C,A330-001,FALSE
27D,A330-001,FALSE
27E,A330-001,FALSE
27F,A330-001,FALSE
28A,A330-001,FALSE
28B,A330-001,FALSE
28C,A330-001,FALSE
28D,A330-001,FALSE
28E,A330-001,FALSE
28F,A330-001,FALSE
29A,A330-001,FALSE
29B,A330-001,FALSE
29C,A330-001,FALSE
29D,A330-001,FALSE
29E,A330-001,FALSE
29F,A330-001,FALSE
30A,A330-001,FALSE
30B,A330-001,FALSE
30C,A330-001,FALSE
30D,A330-001,FALSE
30E,A330-001,FALSE
30F,A330-001,FALSE
31A,A330-001,FALSE
31B,A330-001,FALSE
31C,A330-001,FALSE
31D,A330-001,FALSE
31E,A330-001,FALSE
31F,A330-001,FALSE
32A,A330-001,FALSE
32B,A330-001,FALSE
32C,A330-001,FALSE
32D,A330-001,FALSE
32E,A330-001,FALSE
32F,A330-001,FALSE
33A,A330-001,FALSE
33B,A330-001,FALSE
33C,A330-001,FALSE
33D,A330-001,FALSE
33E,A330-001,FALSE
33F,A330-001,FALSE
34A,A330-001,FALSE
34B,A330-001,FALSE
34C,A330-001,FALSE
34D,A330-001,FALSE
34E,A330-001,FALSE
34F,A330-001,FALSE
35A,A330-001,FALSE
35B,A330-001,FALSE
35C,A330-001,FALSE
35D,A330-001,FALSE
35E,A330-001,FALSE
35F,A330-001,FALSE
36A,A330-001,FALSE
36B,A330-001,FALSE
36C,A330-001,FALSE
36D,A330-001,FALSE
36E,A330-001,FALSE
36F,A330-001,FALSE
37A,A330-001,FALSE
37B,A330-001,FALSE
37C,A330-001,FALSE
37D,A330-001,FALSE
37E,A330-001,FALSE
37F,A330-001,FALSE
38A,A330-001,FALSE
38B,A330-001,FALSE
38C,A330-001,FALSE
38D,A330-001,FALSE
38E,A330-001,FALSE
38F,A330-001,FALSE
39A,A330-001,FALSE
39B,A330-001,FALSE
39C,A330-001,FALSE
39D,A330-001,FALSE
39E,A330-001,FALSE
39F,A330-001,FALSE
40A,A330-001,FALSE
40B,A330-001,FALSE
40C,A330-001,FALSE
40D,A330-001,FALSE
40E,A330-001,FALSE
40F,A330-001,FALSE
41A,A330-001,FALSE
41B,A330-001,FALSE
41C,A330-001,FALSE
41D,A330-001,FALSE
41E,A330-001,FALSE
41F,A330-001,FALSE
1A,A330-002,TRUE
1B,A330-002,TRUE
1C,A330-002,TRUE
1D,A330-002,TRUE
1E,A330-002,TRUE
1F,A330-002,TRUE
2A,A330-002,TRUE
2B,A330-002,TRUE
2C,A330-002,TRUE
2D,A330-002,TRUE
2E,A330-002,TRUE
2F,A330-002,TRUE
3A,A330-002,TRUE
3B,A330-002,TRUE
3C,A330-002,TRUE
3D,A330-002,TRUE
3E,A330-002,TRUE
3F,A330-002,TRUE
4A,A330-002,TRUE
4B,A330-002,TRUE
4C,A330-002,TRUE
4D,A330-002,TRUE
4E,A330-002,TRUE
4F,A330-002,TRUE
5A,A330-002,FALSE
5B,A330-002,FALSE
5C,A330-002,FALSE
5D,A330-002,FALSE
5E,A330-002,FALSE
5F,A330-002,FALSE
6A,A330-002,FALSE
6B,A330-002,FALSE
6C,A330-002,FALSE
6D,A330-002,FALSE
6E,A330-002,FALSE
6F,A330-002,FALSE
7A,A330-002,FALSE
7B,A330-002,FALSE
7C,A330-002,FALSE
7D,A330-002,FALSE
7E,A330-002,FALSE
7F,A330-002,FALSE
8A,A330-002,FALSE
8B,A330-002,FALSE
8C,A330-002,FALSE
8D,A330-002,FALSE
8E,A330-002,FALSE
8F,A330-002,FALSE
9A,A330-002,FALSE
9B,A330-002,FALSE
9C,A330-002,FALSE
9D,A330-002,FALSE
9E,A330-002,FALSE
9F,A330-002,FALSE
10A,A330-002,FALSE
10B,A330-002,FALSE
10C,A330-002,FALSE
10D,A330-002,FALSE
10E,A330-002,FALSE
10F,A330-002,FALSE
11A,A330-002,FALSE
11B,A330-002,FALSE
11C,A330-002,FALSE
11D,A330-002,FALSE
11E,A330-002,FALSE
11F,A330-002,FALSE
12A,A330-002,FALSE
12B,A330-002,FALSE
12C,A330-002,FALSE
12D,A330-002,FALSE
12E,A330-002,FALSE
12F,A330-002,FALSE
13A,A330-002,FALSE
13B,A330-002,FALSE
13C,A330-002,FALSE
13D,A330-002,FALSE
13E,A330-002,FALSE
13F,A330-002,FALSE
14A,A330-002,FALSE
14B,A330-002,FALSE
14C,A330-002,FALSE
14D,A330-002,FALSE
14E,A330-002,FALSE
14F,A330-002,FALSE
15A,A330-002,FALSE
15B,A330-002,FALSE
15C,A330-002,FALSE
15D,A330-002,FALSE
15E,A330-002,FALSE
15F,A330-002,FALSE
16A,A330-002,FALSE
16B,A330-002,FALSE
16C,A330-002,FALSE
16D,A330-002,FALSE
16E,A330-002,FALSE
16F,A330-002,FALSE
17A,A330-002,FALSE
17B,A330-002,FALSE
17C,A330-002,FALSE
17D,A330-002,FALSE
17E,A330-002,FALSE
17F,A330-002,FALSE
18A,A330-002,FALSE
18B,A330-002,FALSE
18C,A330-002,FALSE
18D,A330-002,FALSE
18E,A330-002,FALSE
18F,A330-002,FALSE
19A,A330-002,FALSE
19B,A330-002,FALSE
19C,A330-002,FALSE
19D,A330-002,FALSE
19E,A330-002,FALSE
19F,A330-002,FALSE
20A,A330-002,FALSE
20B,A330-002,FALSE
20C,A330-002,FALSE
20D,A330-002,FALSE
20E,A330-002,FALSE
20F,A330-002,FALSE
21A,A330-002,FALSE
21B,A330-002,FALSE
21C,A330-002,FALSE
21D,A330-002,FALSE
21E,A330-002,FALSE
21F,A330-002,FALSE
22A,A330-002,FALSE
22B,A330-002,FALSE
22C,A330-002,FALSE
22D,A330-002,FALSE
22E,A330-002,FALSE
22F,A330-002,FALSE
23A,A330-002,FALSE
23B,A330-002,FALSE
23C,A330-002,FALSE
23D,A330-002,FALSE
23E,A330-002,FALSE
23F,A330-002,FALSE
24A,A330-002,FALSE
24B,A330-002,FALSE
24C,A330-002,FALSE
24D,A330-002,FALSE
24E,A330-002,FALSE
24F,A330-002,FALSE
25A,A330-002,FALSE
25B,A330-002,FALSE
25C,A330-002,FALSE
25D,A330-002,FALSE
25E,A330-002,FALSE
25F,A330-002,FALSE
26A,A330-002,FALSE
26B,A330-002,FALSE
26C,A330-002,FALSE
26D,A330-002,FALSE
26E,A330-002,FALSE
26F,A330-002,FALSE
