id,no_serie,hora_partida,hora_chegada,partida,chegada
34,A320-003,2025-01-07 19:00:00,2025-01-07 20:00:00,OPO,BCN
35,A330-002,2025-01-07 16:00:00,2025-01-07 19:00:00,OPO,CDG
36,A330-001,2025-01-08 13:00:00,2025-01-08 14:00:00,FRA,CDG
37,A330-002,2025-01-08 14:00:00,2025-01-08 15:00:00,CDG,LGW
38,A320-002,2025-01-08 20:00:00,2025-01-08 21:00:00,FRA,BCN
39,B737-001,2025-01-08 19:00:00,2025-01-08 22:00:00,MAD,LHR
40,B737-002,2025-01-08 15:00:00,2025-01-08 16:00:00,MAD,BCN
41,B737-001,2025-01-09 15:00:00,2025-01-09 17:00:00,LHR,LIS
42,A330-002,2025-01-09 06:00:00,2025-01-09 07:00:00,LGW,FCO
43,B737-004,2025-01-09 20:00:00,2025-01-09 22:00:00,ORY,MAD
44,A330-001,2025-01-09 06:00:00,2025-01-09 07:00:00,CDG,LHR
45,A320-003,2025-01-09 07:00:00,2025-01-09 10:00:00,BCN,OPO
46,B737-003,2025-01-10 14:00:00,2025-01-10 15:00:00,BCN,FRA
47,A320-002,2025-01-10 14:00:00,2025-01-10 17:00:00,BCN,LHR
48,B737-001,2025-01-10 09:00:00,2025-01-10 12:00:00,LIS,FRA
49,A330-003,2025-01-10 17:00:00,2025-01-10 19:00:00,FCO,ORY
50,A330-002,2025-01-10 16:00:00,2025-01-10 19:00:00,FCO,MAD
51,A330-002,2025-01-11 07:00:00,2025-01-11 09:00:00,MAD,ORY
52,B737-003,2025-01-11 15:00:00,2025-01-11 18:00:00,FRA,LIS
53,A330-003,2025-01-11 15:00:00,2025-01-11 16:00:00,ORY,LHR
54,A320-001,2025-01-11 07:00:00,2025-01-11 10:00:00,FCO,LIS
55,A320-002,2025-01-11 09:00:00,2025-01-11 10:00:00,LHR,LIS
56,A320-001,2025-01-12 16:00:00,2025-01-12 18:00:00,LIS,LGW
57,A330-002,2025-01-12 14:00:00,2025-01-12 15:00:00,ORY,LHR
58,A320-002,2025-01-12 09:00:00,2025-01-12 11:00:00,LIS,FCO
59,A330-001,2025-01-12 09:00:00,2025-01-12 10:00:00,LHR,FRA
60,B737-003,2025-01-12 16:00:00,2025-01-12 18:00:00,LIS,CDG
61,A330-002,2025-01-13 16:00:00,2025-01-13 19:00:00,LHR,LIS
62,A320-003,2025-01-13 06:00:00,2025-01-13 08:00:00,OPO,CDG
63,A330-003,2025-01-13 18:00:00,2025-01-13 19:00:00,LHR,MAD
64,B737-002,2025-01-13 09:00:00,2025-01-13 10:00:00,BCN,ORY
65,B737-004,2025-01-13 13:00:00,2025-01-13 14:00:00,MAD,BCN
66,A320-003,2025-01-14 13:00:00,2025-01-14 16:00:00,CDG,OPO
67,B737-001,2025-01-14 06:00:00,2025-01-14 09:00:00,FRA,OPO
68,A330-001,2025-01-14 19:00:00,2025-01-14 20:00:00,FRA,BCN
69,B737-002,2025-01-14 20:00:00,2025-01-14 21:00:00,ORY,OPO
70,A320-002,2025-01-14 12:00:00,2025-01-14 14:00:00,FCO,CDG
71,B737-003,2025-01-15 06:00:00,2025-01-15 08:00:00,CDG,FRA
72,B737-002,2025-01-15 20:00:00,2025-01-15 22:00:00,OPO,LGW
73,A320-003,2025-01-15 12:00:00,2025-01-15 15:00:00,OPO,LGW
74,A320-001,2025-01-15 16:00:00,2025-01-15 19:00:00,LGW,BCN
75,A320-002,2025-01-15 08:00:00,2025-01-15 09:00:00,CDG,FCO
76,A330-001,2025-01-16 06:00:00,2025-01-16 09:00:00,BCN,FCO
77,B737-002,2025-01-16 06:00:00,2025-01-16 07:00:00,LGW,MAD
78,A320-001,2025-01-16 14:00:00,2025-01-16 17:00:00,BCN,FRA
79,B737-004,2025-01-16 06:00:00,2025-01-16 09:00:00,BCN,CDG
80,A330-002,2025-01-16 19:00:00,2025-01-16 20:00:00,LIS,CDG
81,A320-002,2025-01-17 15:00:00,2025-01-17 18:00:00,FCO,ORY
82,B737-004,2025-01-17 15:00:00,2025-01-17 16:00:00,CDG,LIS
83,B737-002,2025-01-17 16:00:00,2025-01-17 19:00:00,MAD,FRA
84,B737-003,2025-01-17 11:00:00,2025-01-17 13:00:00,FRA,BCN
85,A320-001,2025-01-17 16:00:00,2025-01-17 19:00:00,FRA,ORY
86,A330-002,2025-01-18 13:00:00,2025-01-18 15:00:00,CDG,LGW
87,B737-002,2025-01-18 06:00:00,2025-01-18 08:00:00,FRA,OPO
88,A330-001,2025-01-18 07:00:00,2025-01-18 10:00:00,FCO,OPO
89,A330-003,2025-01-18 14:00:00,2025-01-18 16:00:00,MAD,ORY
90,A320-002,2025-01-18 20:00:00,2025-01-18 22:00:00,ORY,CDG
91,A320-002,2025-01-19 19:00:00,2025-01-19 22:00:00,CDG,FCO
92,B737-002,2025-01-19 15:00:00,2025-01-19 18:00:00,OPO,LGW
93,A330-002,2025-01-19 06:00:00,2025-01-19 09:00:00,LGW,BCN
94,B737-001,2025-01-19 10:00:00,2025-01-19 13:00:00,OPO,BCN
95,B737-004,2025-01-19 20:00:00,2025-01-19 21:00:00,LIS,CDG
96,A330-001,2025-01-20 10:00:00,2025-01-20 12:00:00,OPO,ORY
97,A320-002,2025-01-20 17:00:00,2025-01-20 19:00:00,FCO,ORY
98,A330-003,2025-01-20 16:00:00,2025-01-20 19:00:00,ORY,LHR
99,A330-002,2025-01-20 14:00:00,2025-01-20 16:00:00,BCN,LHR
100,B737-004,2025-01-20 20:00:00,2025-01-20 21:00:00,CDG,LGW
101,A320-002,2025-01-21 18:00:00,2025-01-21 19:00:00,ORY,MAD
102,A320-003,2025-01-21 08:00:00,2025-01-21 11:00:00,LGW,LHR
103,A330-001,2025-01-21 14:00:00,2025-01-21 17:00:00,ORY,FCO
104,A320-001,2025-01-21 14:00:00,2025-01-21 15:00:00,ORY,FRA
105,A330-003,2025-01-21 07:00:00,2025-01-21 10:00:00,LHR,OPO
106,B737-001,2025-01-22 08:00:00,2025-01-22 10:00:00,BCN,FCO
107,A330-003,2025-01-22 06:00:00,2025-01-22 08:00:00,OPO,ORY
108,A320-001,2025-01-22 20:00:00,2025-01-22 21:00:00,FRA,LGW
109,A320-003,2025-01-22 09:00:00,2025-01-22 12:00:00,LHR,MAD
110,B737-004,2025-01-22 16:00:00,2025-01-22 17:00:00,LGW,ORY
111,A330-002,2025-01-23 20:00:00,2025-01-23 21:00:00,LHR,CDG
112,A330-003,2025-01-23 18:00:00,2025-01-23 19:00:00,ORY,CDG
113,A320-003,2025-01-23 06:00:00,2025-01-23 07:00:00,MAD,FRA
114,A330-001,2025-01-23 18:00:00,2025-01-23 20:00:00,FCO,LGW
115,B737-004,2025-01-23 10:00:00,2025-01-23 11:00:00,ORY,LHR
116,A320-002,2025-01-24 09:00:00,2025-01-24 11:00:00,MAD,ORY
117,A320-003,2025-01-24 10:00:00,2025-01-24 11:00:00,FRA,LGW
118,A320-001,2025-01-24 06:00:00,2025-01-24 09:00:00,LGW,ORY
119,A330-003,2025-01-24 12:00:00,2025-01-24 14:00:00,CDG,LHR
120,B737-002,2025-01-24 19:00:00,2025-01-24 20:00:00,LGW,LHR
121,A330-001,2025-01-25 06:00:00,2025-01-25 07:00:00,LGW,MAD
122,A330-002,2025-01-25 08:00:00,2025-01-25 11:00:00,CDG,LGW
123,A320-003,2025-01-25 06:00:00,2025-01-25 07:00:00,LGW,LHR
124,A330-003,2025-01-25 11:00:00,2025-01-25 14:00:00,LHR,FRA
125,B737-004,2025-01-25 12:00:00,2025-01-25 15:00:00,LHR,MAD
126,A330-003,2025-01-26 06:00:00,2025-01-26 09:00:00,FRA,LHR
127,A320-002,2025-01-26 06:00:00,2025-01-26 09:00:00,ORY,FRA
128,A320-003,2025-01-26 16:00:00,2025-01-26 19:00:00,LHR,BCN
129,A330-001,2025-01-26 11:00:00,2025-01-26 13:00:00,MAD,ORY
130,B737-004,2025-01-26 16:00:00,2025-01-26 18:00:00,MAD,OPO
131,B737-004,2025-01-27 10:00:00,2025-01-27 13:00:00,OPO,BCN
132,A330-002,2025-01-27 11:00:00,2025-01-27 13:00:00,LGW,FRA
133,A320-002,2025-01-27 14:00:00,2025-01-27 15:00:00,FRA,LHR
134,A330-003,2025-01-27 12:00:00,2025-01-27 15:00:00,LHR,ORY
135,B737-001,2025-01-27 16:00:00,2025-01-27 19:00:00,FCO,MAD
136,B737-001,2025-01-28 10:00:00,2025-01-28 11:00:00,MAD,LHR
137,A330-001,2025-01-28 18:00:00,2025-01-28 21:00:00,ORY,FRA
138,A320-003,2025-01-28 13:00:00,2025-01-28 15:00:00,BCN,LGW
139,A330-003,2025-01-28 16:00:00,2025-01-28 17:00:00,ORY,FCO
140,A320-001,2025-01-28 13:00:00,2025-01-28 16:00:00,ORY,BCN
141,B737-001,2025-01-29 07:00:00,2025-01-29 08:00:00,LHR,MAD
142,A320-002,2025-01-29 09:00:00,2025-01-29 10:00:00,LHR,LGW
143,A330-001,2025-01-29 06:00:00,2025-01-29 07:00:00,FRA,CDG
144,B737-003,2025-01-29 13:00:00,2025-01-29 16:00:00,BCN,ORY
145,A330-002,2025-01-29 13:00:00,2025-01-29 15:00:00,FRA,OPO
146,B737-004,2025-01-30 08:00:00,2025-01-30 11:00:00,BCN,ORY
147,B737-002,2025-01-30 20:00:00,2025-01-30 21:00:00,LHR,LIS
148,A320-003,2025-01-30 09:00:00,2025-01-30 10:00:00,LGW,FRA
149,A330-003,2025-01-30 13:00:00,2025-01-30 14:00:00,FCO,BCN
150,B737-003,2025-01-30 09:00:00,2025-01-30 10:00:00,ORY,BCN
151,B737-003,2025-01-31 15:00:00,2025-01-31 17:00:00,BCN,FCO
152,B737-001,2025-01-31 15:00:00,2025-01-31 18:00:00,MAD,FCO
153,B737-004,2025-01-31 12:00:00,2025-01-31 15:00:00,ORY,BCN
154,A330-002,2025-01-31 20:00:00,2025-01-31 21:00:00,OPO,FCO
155,A330-001,2025-01-31 13:00:00,2025-01-31 15:00:00,CDG,FCO
156,B737-002,2025-02-01 13:00:00,2025-02-01 14:00:00,LIS,LGW
157,A330-001,2025-02-01 09:00:00,2025-02-01 11:00:00,FCO,LHR
158,B737-003,2025-02-01 11:00:00,2025-02-01 14:00:00,FCO,LGW
159,A330-002,2025-02-01 08:00:00,2025-02-01 09:00:00,FCO,OPO
160,A320-002,2025-02-01 12:00:00,2025-02-01 15:00:00,LGW,ORY
161,B737-001,2025-02-02 14:00:00,2025-02-02 16:00:00,FCO,LGW
162,B737-002,2025-02-02 06:00:00,2025-02-02 07:00:00,LGW,FRA
163,A320-002,2025-02-02 12:00:00,2025-02-02 15:00:00,ORY,FRA
164,A330-003,2025-02-02 19:00:00,2025-02-02 22:00:00,BCN,LIS
165,A320-003,2025-02-02 13:00:00,2025-02-02 14:00:00,FRA,MAD
166,A330-002,2025-02-03 17:00:00,2025-02-03 20:00:00,OPO,BCN
167,A330-001,2025-02-03 18:00:00,2025-02-03 21:00:00,LHR,BCN
168,A320-003,2025-02-03 13:00:00,2025-02-03 14:00:00,MAD,ORY
169,B737-003,2025-02-03 12:00:00,2025-02-03 14:00:00,LGW,LHR
170,B737-002,2025-02-03 12:00:00,2025-02-03 14:00:00,FRA,LIS
171,A320-003,2025-02-04 06:00:00,2025-02-04 08:00:00,ORY,BCN
172,B737-001,2025-02-04 07:00:00,2025-02-04 10:00:00,LGW,LIS
173,B737-003,2025-02-04 08:00:00,2025-02-04 10:00:00,LHR,FRA
174,A320-002,2025-02-04 06:00:00,2025-02-04 08:00:00,FRA,CDG
175,A330-001,2025-02-04 11:00:00,2025-02-04 12:00:00,BCN,MAD
176,B737-003,2025-02-05 18:00:00,2025-02-05 20:00:00,FRA,LHR
177,A330-002,2025-02-05 19:00:00,2025-02-05 20:00:00,BCN,LHR
178,A330-003,2025-02-05 06:00:00,2025-02-05 09:00:00,LIS,FCO
179,A320-003,2025-02-05 06:00:00,2025-02-05 08:00:00,BCN,FCO
180,B737-002,2025-02-05 16:00:00,2025-02-05 17:00:00,LIS,LHR
181,A320-001,2025-02-06 09:00:00,2025-02-06 10:00:00,BCN,CDG
182,B737-004,2025-02-06 16:00:00,2025-02-06 17:00:00,BCN,FRA
183,B737-002,2025-02-06 13:00:00,2025-02-06 16:00:00,LHR,ORY
184,A320-002,2025-02-06 18:00:00,2025-02-06 20:00:00,CDG,LGW
185,A330-003,2025-02-06 15:00:00,2025-02-06 18:00:00,FCO,CDG
186,A320-002,2025-02-07 20:00:00,2025-02-07 22:00:00,LGW,LIS
187,B737-001,2025-02-07 12:00:00,2025-02-07 15:00:00,LIS,FRA
188,A330-001,2025-02-07 07:00:00,2025-02-07 10:00:00,MAD,ORY
189,A320-001,2025-02-07 07:00:00,2025-02-07 10:00:00,CDG,LHR
190,B737-003,2025-02-07 19:00:00,2025-02-07 22:00:00,LHR,LGW
191,B737-004,2025-02-08 16:00:00,2025-02-08 18:00:00,FRA,MAD
192,A320-002,2025-02-08 14:00:00,2025-02-08 17:00:00,LIS,CDG
193,A320-001,2025-02-08 06:00:00,2025-02-08 08:00:00,LHR,MAD
194,B737-001,2025-02-08 07:00:00,2025-02-08 09:00:00,FRA,FCO
195,A330-001,2025-02-08 16:00:00,2025-02-08 18:00:00,ORY,MAD
196,B737-001,2025-02-09 15:00:00,2025-02-09 18:00:00,FCO,LHR
197,A320-003,2025-02-09 13:00:00,2025-02-09 15:00:00,FCO,FRA
198,B737-004,2025-02-09 11:00:00,2025-02-09 12:00:00,MAD,LHR
199,A330-002,2025-02-09 10:00:00,2025-02-09 12:00:00,LHR,OPO
200,A330-001,2025-02-09 18:00:00,2025-02-09 20:00:00,MAD,ORY
201,B737-004,2025-02-10 08:00:00,2025-02-10 10:00:00,LHR,MAD
202,A320-003,2025-02-10 11:00:00,2025-02-10 13:00:00,FRA,ORY
203,A330-002,2025-02-10 10:00:00,2025-02-10 13:00:00,OPO,MAD
204,A320-001,2025-02-10 14:00:00,2025-02-10 15:00:00,MAD,LHR
205,B737-002,2025-02-10 09:00:00,2025-02-10 10:00:00,ORY,BCN
206,B737-002,2025-02-11 16:00:00,2025-02-11 19:00:00,BCN,FRA
207,A320-003,2025-02-11 13:00:00,2025-02-11 14:00:00,ORY,FCO
208,B737-003,2025-02-11 10:00:00,2025-02-11 11:00:00,LGW,OPO
209,A330-001,2025-02-11 17:00:00,2025-02-11 18:00:00,ORY,FRA
210,A320-002,2025-02-11 16:00:00,2025-02-11 19:00:00,CDG,LGW
211,A330-002,2025-02-12 11:00:00,2025-02-12 13:00:00,MAD,BCN
212,B737-003,2025-02-12 10:00:00,2025-02-12 12:00:00,OPO,FCO
213,B737-004,2025-02-12 09:00:00,2025-02-12 10:00:00,MAD,LHR
214,B737-002,2025-02-12 11:00:00,2025-02-12 12:00:00,FRA,ORY
215,A330-003,2025-02-12 18:00:00,2025-02-12 21:00:00,CDG,BCN
216,B737-001,2025-02-13 17:00:00,2025-02-13 20:00:00,LHR,LGW
217,B737-002,2025-02-13 15:00:00,2025-02-13 17:00:00,ORY,BCN
218,A330-003,2025-02-13 19:00:00,2025-02-13 20:00:00,BCN,OPO
219,A330-002,2025-02-13 09:00:00,2025-02-13 11:00:00,BCN,LHR
220,B737-003,2025-02-13 10:00:00,2025-02-13 11:00:00,FCO,CDG
221,A330-003,2025-02-14 10:00:00,2025-02-14 13:00:00,OPO,BCN
222,B737-001,2025-02-14 16:00:00,2025-02-14 18:00:00,LGW,CDG
223,A330-001,2025-02-14 19:00:00,2025-02-14 20:00:00,FRA,OPO
224,A320-001,2025-02-14 13:00:00,2025-02-14 15:00:00,LHR,LGW
225,A320-003,2025-02-14 11:00:00,2025-02-14 12:00:00,FCO,FRA
226,A320-001,2025-02-15 13:00:00,2025-02-15 14:00:00,LGW,FRA
227,A330-001,2025-02-15 08:00:00,2025-02-15 09:00:00,OPO,LIS
228,B737-003,2025-02-15 07:00:00,2025-02-15 08:00:00,CDG,LGW
229,B737-004,2025-02-15 14:00:00,2025-02-15 16:00:00,LHR,OPO
230,A320-003,2025-02-15 18:00:00,2025-02-15 21:00:00,FRA,ORY
231,A320-003,2025-02-16 10:00:00,2025-02-16 13:00:00,ORY,FRA
232,B737-003,2025-02-16 15:00:00,2025-02-16 18:00:00,LGW,LIS
233,A330-003,2025-02-16 18:00:00,2025-02-16 19:00:00,BCN,OPO
234,B737-001,2025-02-16 10:00:00,2025-02-16 13:00:00,CDG,LHR
235,A330-001,2025-02-16 08:00:00,2025-02-16 09:00:00,LIS,CDG
236,B737-001,2025-02-17 13:00:00,2025-02-17 16:00:00,LHR,FRA
237,A330-003,2025-02-17 10:00:00,2025-02-17 11:00:00,OPO,FCO
238,A320-002,2025-02-17 10:00:00,2025-02-17 13:00:00,LGW,ORY
239,B737-003,2025-02-17 17:00:00,2025-02-17 19:00:00,LIS,LGW
240,A320-001,2025-02-17 16:00:00,2025-02-17 17:00:00,FRA,OPO
241,A330-001,2025-02-18 16:00:00,2025-02-18 17:00:00,CDG,LHR
242,B737-002,2025-02-18 19:00:00,2025-02-18 20:00:00,BCN,LHR
243,A320-003,2025-02-18 06:00:00,2025-02-18 07:00:00,FRA,OPO
244,A320-001,2025-02-18 15:00:00,2025-02-18 18:00:00,OPO,LGW
245,B737-004,2025-02-18 13:00:00,2025-02-18 14:00:00,OPO,LGW
246,B737-003,2025-02-19 13:00:00,2025-02-19 15:00:00,LGW,BCN
247,A330-001,2025-02-19 15:00:00,2025-02-19 16:00:00,LHR,OPO
248,A320-003,2025-02-19 17:00:00,2025-02-19 19:00:00,OPO,FRA
249,B737-001,2025-02-19 06:00:00,2025-02-19 07:00:00,FRA,LHR
250,A330-003,2025-02-19 16:00:00,2025-02-19 19:00:00,FCO,ORY
251,B737-004,2025-02-20 13:00:00,2025-02-20 16:00:00,LGW,CDG
252,A320-001,2025-02-20 20:00:00,2025-02-20 22:00:00,LGW,FCO
253,A330-001,2025-02-20 15:00:00,2025-02-20 17:00:00,OPO,ORY
254,B737-003,2025-02-20 07:00:00,2025-02-20 09:00:00,BCN,FRA
255,A330-003,2025-02-20 12:00:00,2025-02-20 14:00:00,ORY,MAD
256,A330-002,2025-02-21 10:00:00,2025-02-21 13:00:00,LHR,FCO
257,A320-002,2025-02-21 19:00:00,2025-02-21 22:00:00,ORY,FRA
258,B737-001,2025-02-21 13:00:00,2025-02-21 14:00:00,LHR,LIS
259,B737-003,2025-02-21 10:00:00,2025-02-21 12:00:00,FRA,LGW
260,B737-002,2025-02-21 18:00:00,2025-02-21 20:00:00,LHR,OPO
261,A330-003,2025-02-22 14:00:00,2025-02-22 16:00:00,MAD,ORY
262,A320-001,2025-02-22 16:00:00,2025-02-22 18:00:00,FCO,FRA
263,B737-003,2025-02-22 09:00:00,2025-02-22 11:00:00,LGW,LIS
264,B737-002,2025-02-22 08:00:00,2025-02-22 10:00:00,OPO,BCN
265,B737-004,2025-02-22 20:00:00,2025-02-22 23:00:00,CDG,FCO
266,B737-003,2025-02-23 17:00:00,2025-02-23 18:00:00,LIS,LHR
267,A320-002,2025-02-23 14:00:00,2025-02-23 15:00:00,FRA,LHR
268,A320-001,2025-02-23 12:00:00,2025-02-23 13:00:00,FRA,BCN
269,A330-002,2025-02-23 19:00:00,2025-02-23 20:00:00,FCO,ORY
270,A330-001,2025-02-23 07:00:00,2025-02-23 10:00:00,ORY,FCO
271,B737-001,2025-02-24 12:00:00,2025-02-24 14:00:00,LIS,LGW
272,B737-003,2025-02-24 09:00:00,2025-02-24 11:00:00,LHR,FCO
273,A330-001,2025-02-24 08:00:00,2025-02-24 10:00:00,FCO,BCN
274,A330-003,2025-02-24 20:00:00,2025-02-24 23:00:00,ORY,LHR
275,A330-002,2025-02-24 17:00:00,2025-02-24 18:00:00,ORY,BCN
276,A320-002,2025-02-25 19:00:00,2025-02-25 20:00:00,LHR,LGW
277,A330-001,2025-02-25 17:00:00,2025-02-25 19:00:00,BCN,LHR
278,A320-003,2025-02-25 19:00:00,2025-02-25 20:00:00,FRA,FCO
279,B737-001,2025-02-25 14:00:00,2025-02-25 16:00:00,LGW,FCO
280,A330-003,2025-02-25 11:00:00,2025-02-25 14:00:00,LHR,MAD
281,A330-003,2025-02-26 15:00:00,2025-02-26 17:00:00,MAD,ORY
282,A320-003,2025-02-26 19:00:00,2025-02-26 21:00:00,FCO,ORY
283,B737-003,2025-02-26 11:00:00,2025-02-26 14:00:00,FCO,LIS
284,B737-001,2025-02-26 17:00:00,2025-02-26 19:00:00,FCO,FRA
285,A320-002,2025-02-26 16:00:00,2025-02-26 19:00:00,LGW,FRA
286,B737-001,2025-02-27 19:00:00,2025-02-27 20:00:00,FRA,LGW
287,B737-003,2025-02-27 07:00:00,2025-02-27 10:00:00,LIS,FCO
288,A320-001,2025-02-27 06:00:00,2025-02-27 09:00:00,BCN,FRA
289,A320-002,2025-02-27 12:00:00,2025-02-27 15:00:00,FRA,CDG
290,A330-001,2025-02-27 07:00:00,2025-02-27 09:00:00,LHR,CDG
291,A330-001,2025-02-28 19:00:00,2025-02-28 22:00:00,CDG,MAD
292,A330-002,2025-02-28 12:00:00,2025-02-28 14:00:00,BCN,FCO
293,A320-003,2025-02-28 19:00:00,2025-02-28 22:00:00,ORY,FCO
294,A330-003,2025-02-28 15:00:00,2025-02-28 16:00:00,ORY,LIS
295,A320-001,2025-02-28 16:00:00,2025-02-28 19:00:00,FRA,ORY
296,A330-001,2025-03-01 13:00:00,2025-03-01 14:00:00,MAD,OPO
297,B737-002,2025-03-01 20:00:00,2025-03-01 21:00:00,BCN,LHR
298,A320-002,2025-03-01 11:00:00,2025-03-01 12:00:00,CDG,LIS
299,A330-003,2025-03-01 11:00:00,2025-03-01 13:00:00,LIS,LGW
300,A320-001,2025-03-01 08:00:00,2025-03-01 09:00:00,ORY,FRA
301,A330-003,2025-03-02 15:00:00,2025-03-02 17:00:00,LGW,OPO
302,A320-003,2025-03-02 13:00:00,2025-03-02 16:00:00,FCO,ORY
303,B737-001,2025-03-02 09:00:00,2025-03-02 11:00:00,LGW,CDG
304,A320-002,2025-03-02 13:00:00,2025-03-02 15:00:00,LIS,LGW
305,B737-004,2025-03-02 20:00:00,2025-03-02 22:00:00,FCO,LIS
306,A330-001,2025-03-03 15:00:00,2025-03-03 17:00:00,OPO,MAD
307,A330-003,2025-03-03 17:00:00,2025-03-03 19:00:00,OPO,FRA
308,B737-001,2025-03-03 19:00:00,2025-03-03 21:00:00,CDG,FCO
309,A320-001,2025-03-03 12:00:00,2025-03-03 14:00:00,FRA,ORY
310,B737-002,2025-03-03 09:00:00,2025-03-03 11:00:00,LHR,OPO
311,B737-004,2025-03-04 19:00:00,2025-03-04 22:00:00,LIS,OPO
312,A330-002,2025-03-04 10:00:00,2025-03-04 11:00:00,FCO,MAD
313,A330-001,2025-03-04 20:00:00,2025-03-04 23:00:00,MAD,LIS
314,A330-003,2025-03-04 19:00:00,2025-03-04 21:00:00,FRA,FCO
315,B737-001,2025-03-04 15:00:00,2025-03-04 17:00:00,FCO,ORY
316,B737-002,2025-03-05 16:00:00,2025-03-05 17:00:00,OPO,ORY
317,B737-004,2025-03-05 10:00:00,2025-03-05 12:00:00,OPO,LIS
318,A330-001,2025-03-05 15:00:00,2025-03-05 17:00:00,LIS,OPO
319,A330-002,2025-03-05 07:00:00,2025-03-05 09:00:00,MAD,CDG
320,A320-003,2025-03-05 17:00:00,2025-03-05 19:00:00,ORY,MAD
321,B737-001,2025-03-06 14:00:00,2025-03-06 17:00:00,ORY,MAD
322,B737-002,2025-03-06 19:00:00,2025-03-06 20:00:00,ORY,LGW
323,B737-004,2025-03-06 20:00:00,2025-03-06 22:00:00,LIS,LGW
324,A320-003,2025-03-06 17:00:00,2025-03-06 19:00:00,MAD,LHR
325,A330-001,2025-03-06 13:00:00,2025-03-06 14:00:00,OPO,CDG
326,B737-001,2025-03-07 07:00:00,2025-03-07 09:00:00,MAD,LGW
327,B737-002,2025-03-07 10:00:00,2025-03-07 13:00:00,LGW,LIS
328,A320-003,2025-03-07 13:00:00,2025-03-07 15:00:00,LHR,OPO
329,B737-003,2025-03-07 15:00:00,2025-03-07 17:00:00,FCO,LHR
330,A330-001,2025-03-07 07:00:00,2025-03-07 10:00:00,CDG,MAD
331,B737-002,2025-03-08 20:00:00,2025-03-08 23:00:00,LIS,MAD
332,B737-003,2025-03-08 16:00:00,2025-03-08 17:00:00,LHR,ORY
333,A320-001,2025-03-08 20:00:00,2025-03-08 23:00:00,ORY,FCO
334,A330-001,2025-03-08 16:00:00,2025-03-08 18:00:00,MAD,LHR
335,A320-003,2025-03-08 08:00:00,2025-03-08 09:00:00,OPO,CDG
336,A320-001,2025-03-09 20:00:00,2025-03-09 23:00:00,FCO,ORY
337,A330-001,2025-03-09 12:00:00,2025-03-09 14:00:00,LHR,CDG
338,B737-003,2025-03-09 16:00:00,2025-03-09 19:00:00,ORY,MAD
339,B737-004,2025-03-09 12:00:00,2025-03-09 15:00:00,LGW,BCN
340,A320-003,2025-03-09 20:00:00,2025-03-09 22:00:00,CDG,ORY
